Parameter Distribution {'n_estimators': [10, 30, 50, 100, 150, 200, 250, 300, 400, 500, 600], 'max_features': ['auto', 'sqrt', 'log2'], 'max_depth': [3, 4, 5, 6, 7, 8, 9, 10, None], 'bootstrap': [True, False], 'min_samples_split': [2, 5, 10], 'min_samples_leaf': [1, 2, 4]}
0.667632 (0.001186) with: {'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 3, 'bootstrap': False}, std score of 0.001186, score rank of 96,
0.686145 (0.003178) with: {'n_estimators': 30, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 5, 'bootstrap': True}, std score of 0.003178, score rank of 72,
0.694298 (0.001147) with: {'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 6, 'bootstrap': True}, std score of 0.001147, score rank of 46,
0.662549 (0.005168) with: {'n_estimators': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': None, 'bootstrap': False}, std score of 0.005168, score rank of 99,
0.703150 (0.001798) with: {'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 8, 'bootstrap': False}, std score of 0.001798, score rank of 21,
0.701037 (0.002402) with: {'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': True}, std score of 0.002402, score rank of 25,
0.669231 (0.001144) with: {'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}, std score of 0.001144, score rank of 90,
0.698570 (0.001687) with: {'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 7, 'bootstrap': False}, std score of 0.001687, score rank of 36,
0.676428 (0.002572) with: {'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 4, 'bootstrap': False}, std score of 0.002572, score rank of 80,
0.684238 (0.004404) with: {'n_estimators': 30, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': False}, std score of 0.004404, score rank of 73,
0.700360 (0.001756) with: {'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 7, 'bootstrap': False}, std score of 0.001756, score rank of 32,
0.669231 (0.001144) with: {'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 3, 'bootstrap': False}, std score of 0.001144, score rank of 90,
0.687019 (0.001636) with: {'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 5, 'bootstrap': True}, std score of 0.001636, score rank of 70,
0.690469 (0.004036) with: {'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': False}, std score of 0.004036, score rank of 57,
0.690315 (0.004410) with: {'n_estimators': 30, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 5, 'bootstrap': True}, std score of 0.004410, score rank of 59,
0.690142 (0.003406) with: {'n_estimators': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 6, 'bootstrap': True}, std score of 0.003406, score rank of 60,
0.694954 (0.002391) with: {'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 6, 'bootstrap': True}, std score of 0.002391, score rank of 45,
0.704066 (0.002436) with: {'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 9, 'bootstrap': False}, std score of 0.002436, score rank of 14,
0.695541 (0.005962) with: {'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 7, 'bootstrap': False}, std score of 0.005962, score rank of 44,
0.686938 (0.004836) with: {'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 5, 'bootstrap': True}, std score of 0.004836, score rank of 71,
