Parameter Distribution {'loss': ['deviance', 'exponential'], 'learning_rate': [0.1, 0.01, 0.001], 'n_estimators': [10, 30, 50, 100, 150, 200, 250, 300, 400, 500, 600], 'min_samples_leaf': [1, 2, 4], 'min_samples_split': [2, 5, 10]}
0.701333 (0.004289) with: {'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 2, 'loss': 'exponential', 'learning_rate': 0.01}, std score of 0.004289, score rank of 37,
0.679996 (0.003059) with: {'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.003059, score rank of 63,
0.679264 (0.004326) with: {'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'loss': 'deviance', 'learning_rate': 0.1}, std score of 0.004326, score rank of 68,
0.687584 (0.006186) with: {'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 1, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.006186, score rank of 52,
0.710131 (0.002918) with: {'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 4, 'loss': 'exponential', 'learning_rate': 0.1}, std score of 0.002918, score rank of 13,
0.707566 (0.004212) with: {'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'loss': 'deviance', 'learning_rate': 0.1}, std score of 0.004212, score rank of 25,
0.708444 (0.004291) with: {'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 2, 'loss': 'exponential', 'learning_rate': 0.1}, std score of 0.004291, score rank of 20,
0.704370 (0.004745) with: {'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 2, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.004745, score rank of 29,
0.710513 (0.003341) with: {'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'loss': 'deviance', 'learning_rate': 0.1}, std score of 0.003341, score rank of 3,
0.000000 (0.000000) with: {'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 4, 'loss': 'exponential', 'learning_rate': 0.001}, std score of 0.000000, score rank of 87,
0.698191 (0.003003) with: {'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'loss': 'exponential', 'learning_rate': 0.01}, std score of 0.003003, score rank of 39,
0.702886 (0.004556) with: {'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 4, 'loss': 'exponential', 'learning_rate': 0.1}, std score of 0.004556, score rank of 33,
0.708421 (0.004229) with: {'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 1, 'loss': 'exponential', 'learning_rate': 0.1}, std score of 0.004229, score rank of 21,
0.683038 (0.004070) with: {'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 2, 'loss': 'exponential', 'learning_rate': 0.001}, std score of 0.004070, score rank of 57,
0.709853 (0.003797) with: {'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.1}, std score of 0.003797, score rank of 15,
0.704217 (0.005247) with: {'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.005247, score rank of 31,
0.000000 (0.000000) with: {'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.001}, std score of 0.000000, score rank of 87,
0.681827 (0.004269) with: {'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.004269, score rank of 59,
0.679996 (0.003059) with: {'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.003059, score rank of 63,
0.697473 (0.004157) with: {'n_estimators': 30, 'min_samples_split': 2, 'min_samples_leaf': 1, 'loss': 'exponential', 'learning_rate': 0.1}, std score of 0.004157, score rank of 42,
0.000000 (0.000000) with: {'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'loss': 'exponential', 'learning_rate': 0.001}, std score of 0.000000, score rank of 87,
0.695667 (0.004862) with: {'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.004862, score rank of 46,
0.706959 (0.004503) with: {'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 1, 'loss': 'exponential', 'learning_rate': 0.1}, std score of 0.004503, score rank of 27,
0.000000 (0.000000) with: {'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.001}, std score of 0.000000, score rank of 87,
0.697473 (0.004157) with: {'n_estimators': 30, 'min_samples_split': 10, 'min_samples_leaf': 4, 'loss': 'exponential', 'learning_rate': 0.1}, std score of 0.004157, score rank of 42,
0.710294 (0.003375) with: {'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 4, 'loss': 'exponential', 'learning_rate': 0.1}, std score of 0.003375, score rank of 8,
0.658412 (0.010620) with: {'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.001}, std score of 0.010620, score rank of 81,
0.679996 (0.003059) with: {'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'loss': 'exponential', 'learning_rate': 0.01}, std score of 0.003059, score rank of 63,
