id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
26330220,Super luxurious flat/ villa-best place in town,2770598,Moriya,,sterbro,55.7223,12.57327,Entire home/apt,6498,2,0,,,3,0
26330233,Inner city pearl.,27277592,Simon,,Indre By,55.68625,12.59067,Entire home/apt,1541,3,3,2019-08-26,0.16,1,345
26330794,2 v. Lejlighed på Frederiksberg,188863217,Cecilie Brandstrup,,Frederiksberg,55.68788,12.52959,Entire home/apt,598,1,10,2020-02-02,0.50,1,3
26331074,Great home in central Copenhagen,29152073,Jacob,,Vesterbro-Kongens Enghave,55.66669,12.54791,Entire home/apt,396,5,19,2019-10-09,0.95,1,0
26339739,Penthouse tæt på by og natur,19165949,Mads,,Amager Vest,55.65479,12.60266,Entire home/apt,996,1,0,,,1,0
26340233,Brand new apartment for families and couples,197853138,Karen,,Amager Vest,55.65589,12.58991,Entire home/apt,546,4,3,2018-09-29,0.15,1,0
26340571,Dinesen Collection Two-Story Penthouse by Nyhavn Harbour,28236905,Dinesen Collection,,Indre By,55.6816,12.58817,Entire home/apt,2478,1,26,2019-11-05,1.36,10,298
26341858,Danish cosy apartment,2630441,Martin Lund,,Amager st,55.66693,12.61711,Entire home/apt,475,2,17,2020-02-16,0.86,1,17
26341942,Private room in the center of Frederiksberg,2797727,Tine,,Frederiksberg,55.67108,12.53239,Private room,450,2,23,2018-10-28,1.16,1,0
26341945,Central & Quiet Room - 2 Mins From Harbor,7280930,Mario,,Amager Vest,55.66142,12.57469,Private room,423,1,3,2018-08-23,0.15,2,0
26343809,Stylish apartment with balcony (1 min. from metro),2998288,Tina,,Vesterbro-Kongens Enghave,55.66614,12.54727,Entire home/apt,849,3,25,2019-10-01,1.29,1,76
26346060,Cosy tree house close to Copenhagen,3813404,Niels C.,,Brnshj-Husum,55.71352,12.47085,Entire home/apt,550,5,7,2019-12-28,0.38,1,13
26348659,Sunny and cosy room in the heart of Nørrebro,91321811,Christine,,Nrrebro,55.69289,12.55105,Private room,362,2,17,2019-06-14,0.84,1,0
26348755,Simple Scandi Apartment in Nørrebro,187097080,Soultana,,Bispebjerg,55.70926,12.53587,Entire home/apt,403,5,3,2018-12-28,0.20,1,0
26353004,Cosy True Copenhagen Apartment in Nørrebro,42652740,Rannveig,,Bispebjerg,55.69931,12.53089,Entire home/apt,703,3,12,2019-03-25,0.64,1,0
26353344,Modern Copenhagen Home with harbor view + rooftop,11363761,Philipp,,Vesterbro-Kongens Enghave,55.64569,12.5519,Entire home/apt,846,7,3,2018-08-26,0.16,2,0
