Parameter Distribution {'loss': ['deviance', 'exponential'], 'learning_rate': [0.1, 0.01, 0.001], 'n_estimators': [10, 30, 50, 100, 150, 200, 250, 300], 'min_samples_leaf': [1, 2, 4], 'min_samples_split': [2, 5, 10]}
0.694669 (0.002501) with: {'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.002501, score rank of 35,
0.675060 (0.008455) with: {'n_estimators': 250, 'min_samples_split': 10, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.001}, std score of 0.008455, score rank of 63,
0.689023 (0.005494) with: {'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 2, 'loss': 'exponential', 'learning_rate': 0.01}, std score of 0.005494, score rank of 40,
0.681851 (0.003481) with: {'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.003481, score rank of 52,
0.703393 (0.002169) with: {'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 1, 'loss': 'deviance', 'learning_rate': 0.1}, std score of 0.002169, score rank of 21,
0.672728 (0.005177) with: {'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'loss': 'exponential', 'learning_rate': 0.001}, std score of 0.005177, score rank of 68,
0.706843 (0.001855) with: {'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'loss': 'deviance', 'learning_rate': 0.1}, std score of 0.001855, score rank of 18,
0.707630 (0.002330) with: {'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 2, 'loss': 'deviance', 'learning_rate': 0.1}, std score of 0.002330, score rank of 7,
0.665844 (0.004665) with: {'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'loss': 'exponential', 'learning_rate': 0.001}, std score of 0.004665, score rank of 72,
0.697498 (0.001557) with: {'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.001557, score rank of 30,
0.000000 (0.000000) with: {'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.001}, std score of 0.000000, score rank of 80,
0.707662 (0.002180) with: {'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'loss': 'exponential', 'learning_rate': 0.1}, std score of 0.002180, score rank of 6,
0.682562 (0.000490) with: {'n_estimators': 10, 'min_samples_split': 5, 'min_samples_leaf': 4, 'loss': 'exponential', 'learning_rate': 0.1}, std score of 0.000490, score rank of 44,
0.675060 (0.008455) with: {'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 4, 'loss': 'exponential', 'learning_rate': 0.001}, std score of 0.008455, score rank of 63,
0.697498 (0.001557) with: {'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.001557, score rank of 30,
0.702826 (0.001596) with: {'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'loss': 'exponential', 'learning_rate': 0.1}, std score of 0.001596, score rank of 23,
0.679909 (0.002126) with: {'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.002126, score rank of 57,
0.000000 (0.000000) with: {'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'loss': 'exponential', 'learning_rate': 0.01}, std score of 0.000000, score rank of 80,
0.682550 (0.000486) with: {'n_estimators': 10, 'min_samples_split': 5, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.1}, std score of 0.000486, score rank of 47,
0.000000 (0.000000) with: {'n_estimators': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.000000, score rank of 80,
0.698591 (0.002398) with: {'n_estimators': 30, 'min_samples_split': 10, 'min_samples_leaf': 1, 'loss': 'exponential', 'learning_rate': 0.1}, std score of 0.002398, score rank of 27,
0.702826 (0.001596) with: {'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 2, 'loss': 'exponential', 'learning_rate': 0.1}, std score of 0.001596, score rank of 23,
0.707385 (0.001781) with: {'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.1}, std score of 0.001781, score rank of 14,
